# f.javier.heredia(at)upc.edu

set G := ALL1 ROB1 ROB2 NRC1 NRC2 NRC3 SBO1 SBO2;
set D := D03 D04 D05 D08 D09 D10 D11 D12 D13 D14;

param nbG := 10;
param nbD := 10;
param nT := 24;
param nB := 14;

# IEE14 grid
set GB[1] := ROB1 ROB2;
set GB[2] := NRC1 NRC2 NRC3;
set GB[3] := SBO1 SBO2;
set GB[6] := ALL1;

set DB[3 ]:= D03;
set DB[4 ]:= D04;
set DB[5 ]:= D05;
set DB[8 ]:= D08;
set DB[9 ]:= D09;
set DB[10]:= D10;
set DB[11]:= D11;
set DB[12]:= D12;
set DB[13]:= D13;
set DB[14]:= D14;

set L :=  (1,2) (1,5) (2,3) (2,4) (2,5) (3,4) (4,5) (4,7) (4,9) (5,6) (6,11) (6,12) (6,13) (7,8) (7,9) (9,10) (9,14) (10,11) (12,13) (13,14);

set  refB := 1;

param: x        smax:=
1   2  0.05917  17
1   5  0.22304  51
2   3  0.19797  56
2   4  0.17632  67
2   5  0.17388  60
3   4  0.17103  65
4   5  0.04211  37
4   7  0.20912  88
4   9  0.55618  49
5   6  0.25202  84
6  11  0.1989   70
6  12  0.25581   4
6  13  0.13027  11
7   8  0.17615   8
7   9  0.11001  80
9  10  0.0845   75
9  14  0.27038   9
10 11  0.19207   3
12 13  0.19988   3
13 14  0.34802  10
;

param   sb  := 100;

# Generation units
param :   pgmin   pgmax   ru      rd      tU  tD pg0     u0:=
ALL1      150.00  350.00  150.00  150.00  4   5  150.00  1
NRC1      60.00   166.40  70.00   60.00   4   5  60.00   1
NRC2      160.00  364.10  160.00  160.00  4   5  160.00  1
NRC3      90.00   350.00  90.00   90.00   4   5  90.00   1
ROB1      160.00  370.70  160.00  160.00  4   5  160.00  1
ROB2      30.00   70.00   40.00   30.00   4   5  30.00   1
SBO1      110.00  313.60  115.00  110.00  4   5  110.00  1
SBO2      110.00  313.60  110.00  110.00  4   5  110.00  1
;


